Date,Close,High,Low,Open,Volume
9/21/2023,172.8543243,175.2096774,172.7847651,173.4705003,63047900
9/22/2023,173.7090302,175.9848765,172.9736163,173.5897771,56725400
9/25/2023,174.9910431,175.8755383,173.0729712,173.122665,46172700
9/26/2023,170.8965302,174.1164829,170.5983825,173.7388433,64588900
9/27/2023,169.3759766,171.9698357,168.0045214,171.552435,66921800
9/28/2023,169.6343842,170.9660934,166.583363,168.2927271,56294400
9/29/2023,170.1511688,171.9996664,169.286539,170.956157,51814200
10/2/2023,172.6754303,173.2220318,169.8728635,170.1610785,52164500
10/3/2023,171.333786,172.55619,169.7635709,171.1946524,49594600
10/4/2023,172.5860138,173.1326154,169.9126475,170.0319005,53020300
10/5/2023,173.8282928,174.3649466,171.6120731,172.715209,48527900
10/6/2023,176.3923187,176.8892265,172.1089612,172.7251371,57224100
10/9/2023,177.8830414,177.9426679,174.7127675,175.7165157,42390800
10/10/2023,177.2867584,178.6085349,176.8494771,176.9985586,43698000
10/11/2023,178.6880341,178.7377279,176.5016429,177.0979232,47551100
10/12/2023,179.5924072,181.2123162,177.932722,178.9563659,56743100
10/13/2023,177.743927,180.8048657,177.0383113,180.2980252,51427100
10/16/2023,177.6147156,177.9724898,175.4183765,175.6568977,52517000
10/17/2023,176.0544128,177.3165628,173.7189555,175.5575051,57549400
10/18/2023,174.7525177,176.4817622,174.0270366,174.4941311,54764400
10/19/2023,174.3748627,176.7401331,174.1065283,174.9512623,59302900
10/20/2023,171.8108368,174.3351216,171.5723156,174.2258013,64189300
10/23/2023,171.9300995,172.9338478,168.8790783,169.8530285,55980100
10/24/2023,172.3673859,172.5959592,170.3896873,171.9797984,43816600
10/25/2023,170.0418701,171.9897404,169.5946409,170.8170451,57157000
10/26/2023,165.8578644,170.3201013,164.6454083,169.316338,70625300
10/27/2023,167.179657,167.915086,165.7982539,165.877761,58499100
10/30/2023,169.2368317,170.1113941,167.8256155,167.9746969,51131000
10/31/2023,169.7138824,169.8430682,166.8616216,168.3026662,44846000
11/1/2023,172.894104,173.1524906,169.0679078,169.9424704,56934900
11/2/2023,176.471817,176.6805098,174.3748658,174.4344923,77334800
11/3/2023,175.5575256,175.7264876,172.2779462,173.1624415,79763700
11/6/2023,178.1215668,178.3203269,175.1202546,175.2892014,63841300
11/7/2023,180.6955719,181.3117328,177.8631912,178.071884,70530000
11/8/2023,181.7589264,182.3154607,180.4669631,181.2222727,49340300
11/9/2023,181.2819061,182.9813223,180.6856107,181.8285077,53763500
11/10/2023,185.4912567,185.6604413,182.6352534,183.0731107,66133400
11/13/2023,183.8990631,185.1230623,183.3119431,184.9140946,43627500
11/14/2023,186.5261993,187.1929312,185.3917576,186.7849263,60108400
11/15/2023,187.0934143,188.5761558,186.8645398,186.9342059,53790500
11/16/2023,188.785141,190.029047,187.7302959,188.6458241,54412900
11/17/2023,188.7652283,189.4518668,187.6506933,189.3224957,50922700
11/20/2023,190.5166473,190.9744114,188.9543092,188.964255,46505100
11/21/2023,189.7106018,190.5863165,188.8149955,190.4768522,38134500
11/22/2023,190.3773499,191.9894474,189.8996941,190.5564802,39617700
11/24/2023,189.043869,189.9693278,188.3273779,189.9394753,24048300
11/27/2023,188.8647308,189.7404455,187.9790704,188.9941019,40552600
11/28/2023,189.471756,190.1484487,188.4766312,188.8547835,38415400
11/29/2023,188.4467926,191.1535335,188.0487487,189.9693324,43014200
11/30/2023,189.0239563,189.3921628,187.2725421,188.914492,48794400
12/1/2023,190.3076935,190.6261256,188.3074827,189.4021262,45679300
12/4/2023,188.506485,189.1234727,186.5361421,189.0538067,43389500
12/5/2023,192.4770355,193.4522536,189.2528257,189.2826934,66628400
12/6/2023,191.3824158,193.8105076,191.1734329,193.5020213,41089700
12/7/2023,193.3229065,194.0493434,192.6462137,192.6860272,47477700
12/8/2023,194.7558746,195.0345084,192.7258116,193.2532265,53377300
12/11/2023,192.238205,192.5467064,190.4867907,192.1685541,60943700
12/12/2023,193.7607727,193.7707185,190.7853438,192.1387143,52696900
12/13/2023,196.9949341,197.0347324,193.900095,194.1389153,70404200
12/14/2023,197.1441956,198.6468287,195.203705,197.054638,66831600
12/15/2023,196.606842,197.4327824,196.0396135,196.5670285,128256700
12/18/2023,194.9349976,195.6713954,193.4423104,195.1340195,55751900
12/19/2023,195.9799042,195.98985,194.93502,195.203708,40714100
12/20/2023,193.880188,196.7162849,193.880188,195.9400887,52242800
12/21/2023,193.7308807,196.1191893,192.5566408,195.1439713,46482500
12/22/2023,192.6561737,194.4573472,192.0292402,194.2284576,37122800
12/26/2023,192.1088562,192.9447574,191.8899275,192.6661237,28919300
12/27/2023,192.208374,192.5566738,190.1584191,191.5516031,48087700
12/28/2023,192.6362762,193.7110129,192.2282714,193.1935437,34049900
12/29/2023,191.5913696,193.4522481,190.7952668,192.9546857,42628800
